,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
0,"the presentation by the queen at buckingham palace was made to his daughter , mhairi mcgeachy ",partner and,"the presentation by the queen at buckingham palace was made to his partner and daughter , mhairi mcgeachy ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'presentation', 'by', 'the', 'queen', 'at', 'buckingham', 'palace', 'was', 'made', 'to', 'his', 'daughter', ',', 'mhairi', 'mcgeachy', '']","['partner', 'and']","['[cls]', '[cls]', 'the', 'presentation', 'by', 'the', 'queen', 'at', 'buckingham', 'palace', 'was', 'made', 'to', 'his', '[ps]', '[ps]', 'partner', 'and', '[pe]', '[pe]', 'daughter', ',', 'mhairi', 'mcgeachy', '[sep]', '[sep]']","[cls] [cls] the presentation by the queen at buckingham palace was made to his [ps] [ps] partner and [pe] [pe] daughter , mhairi mcgeachy [sep] [sep]"
1,"in patients with cases of bipolar disorder , the patient experiences serious mood swings ",that last for days or even weeks,"in patients with cases of bipolar disorder , the patient experiences serious mood swings that last for days or even weeks ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'patients', 'with', 'cases', 'of', 'bipolar', 'disorder', ',', 'the', 'patient', 'experiences', 'serious', 'mood', 'swings', '']","['that', 'last', 'for', 'days', 'or', 'even', 'weeks']","['[cls]', '[cls]', 'in', 'patients', 'with', 'cases', 'of', 'bipolar', 'disorder', ',', 'the', 'patient', 'experiences', 'serious', 'mood', 'swings', '[ps]', '[ps]', 'that', 'last', 'for', 'days', 'or', 'even', 'weeks', '[pe]', '[pe]', '[sep]', '[sep]']","[cls] [cls] in patients with cases of bipolar disorder , the patient experiences serious mood swings [ps] [ps] that last for days or even weeks [pe] [pe] [sep] [sep]"
2,"however , even though the hollies ' master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' ",new,"however , even though the hollies ' new master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['however', ',', 'even', 'though', 'the', 'hollies', ""'"", 'master', 'rights', 'were', 'owned', 'by', 'capitol', 'records', ""'"", 'parent', 'company', ',', 'emi', ',', 'capitol', 'canada', 'decided', 'to', 'counterprogram', 'against', 'the', 'hollies', ""'"", 'first', 'epic', 'release', ',', ""''"", 'evolution', ""''"", '']",['new'],"['[cls]', '[cls]', 'however', ',', 'even', 'though', 'the', 'hollies', ""'"", '[ps]', '[ps]', 'new', '[pe]', '[pe]', 'master', 'rights', 'were', 'owned', 'by', 'capitol', 'records', ""'"", 'parent', 'company', ',', 'emi', ',', 'capitol', 'canada', 'decided', 'to', 'counterprogram', 'against', 'the', 'hollies', ""'"", 'first', 'epic', 'release', ',', ""''"", 'evolution', ""''"", '[sep]', '[sep]']","[cls] [cls] however , even though the hollies ' [ps] [ps] new [pe] [pe] master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' [sep] [sep]"
3,he was assassinated by the members of the turani faction ,by haidar khan turani,he was assassinated by the members of the turani faction by haidar khan turani ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'was', 'assassinated', 'by', 'the', 'members', 'of', 'the', 'turani', 'faction', '']","['by', 'haidar', 'khan', 'turani']","['[cls]', '[cls]', 'he', 'was', 'assassinated', '[ps]', '[ps]', 'by', 'the', 'members', 'of', 'the', 'turani', '[pe]', '[pe]', 'faction', 'by', 'haidar', 'khan', 'turani', '[sep]', '[sep]']",[cls] [cls] he was assassinated [ps] [ps] by the members of the turani [pe] [pe] faction by haidar khan turani [sep] [sep]
4,"some for - profit clinics exist , but they provide less than 2 % of health services ",care,"some for - profit clinics exist , but they provide less than 2 % of health care services ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['some', 'for', '-', 'profit', 'clinics', 'exist', ',', 'but', 'they', 'provide', 'less', 'than', '2', '%', 'of', 'health', 'services', '']",['care'],"['[cls]', '[cls]', 'some', 'for', '-', 'profit', 'clinics', 'exist', ',', 'but', 'they', 'provide', 'less', 'than', '2', '%', 'of', 'health', '[ps]', '[ps]', 'care', '[pe]', '[pe]', 'services', '[sep]', '[sep]']","[cls] [cls] some for - profit clinics exist , but they provide less than 2 % of health [ps] [ps] care [pe] [pe] services [sep] [sep]"
5,it lies at the junction of the a63 ( selby ) road and a64 ( york ) roads ,"blends in to the cross gates and seacroft areas , and","it blends in to the cross gates and seacroft areas , and lies at the junction of the a63 ( selby ) road and a64 ( york ) roads ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'lies', 'at', 'the', 'junction', 'of', 'the', 'a63', '(', 'selby', ')', 'road', 'and', 'a64', '(', 'york', ')', 'roads', '']","['blends', 'in', 'to', 'the', 'cross', 'gates', 'and', 'seacroft', 'areas', ',', 'and']","['[cls]', '[cls]', 'it', '[ps]', '[ps]', 'blends', 'in', 'to', 'the', 'cross', 'gates', 'and', '[pe]', '[pe]', 'seacroft', 'areas', ',', 'and', 'lies', 'at', 'the', 'junction', 'of', 'the', 'a63', '(', 'selby', ')', 'road', 'and', 'a64', '(', 'york', ')', 'roads', '[sep]', '[sep]']","[cls] [cls] it [ps] [ps] blends in to the cross gates and [pe] [pe] seacroft areas , and lies at the junction of the a63 ( selby ) road and a64 ( york ) roads [sep] [sep]"
6,hill was born and raised in oklahoma ,"ferguson ,","hill was born and raised in ferguson , oklahoma ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['hill', 'was', 'born', 'and', 'raised', 'in', 'oklahoma', '']","['ferguson', ',']","['[cls]', '[cls]', 'hill', 'was', 'born', 'and', 'raised', 'in', '[ps]', '[ps]', 'ferguson', ',', '[pe]', '[pe]', 'oklahoma', '[sep]', '[sep]']","[cls] [cls] hill was born and raised in [ps] [ps] ferguson , [pe] [pe] oklahoma [sep] [sep]"
7,the immedinger were a noble family of saxony ,descended from the saxon king widukind,the immedinger were a noble family of saxony descended from the saxon king widukind ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'immedinger', 'were', 'a', 'noble', 'family', 'of', 'saxony', '']","['descended', 'from', 'the', 'saxon', 'king', 'widukind']","['[cls]', '[cls]', 'the', 'immedinger', 'were', 'a', 'noble', 'family', 'of', 'saxony', '[ps]', '[ps]', 'descended', 'from', 'the', 'saxon', 'king', 'widukind', '[pe]', '[pe]', '[sep]', '[sep]']",[cls] [cls] the immedinger were a noble family of saxony [ps] [ps] descended from the saxon king widukind [pe] [pe] [sep] [sep]
8,"a ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse ",", but cryptorchidism also can be an issue in dogs and cats","a ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse , but cryptorchidism also can be an issue in dogs and cats ","Wikification ( formating style, adding or removing links etc)","['a', 'ridgling', '(', 'also', 'spelled', 'ridgeling', ')', ',', 'or', 'rig', ',', 'is', 'a', 'cryptorchid', ';', 'a', 'male', 'animal', 'with', 'one', 'or', 'both', 'testicles', 'undescended', ',', 'usually', 'describing', 'a', 'ram', ',', 'bull', ',', 'or', 'male', 'horse', '']","[',', 'but', 'cryptorchidism', 'also', 'can', 'be', 'an', 'issue', 'in', 'dogs', 'and', 'cats']","['[cls]', '[cls]', 'a', 'ridgling', '(', 'also', 'spelled', 'ridgeling', ')', '[ps]', '[ps]', ',', 'or', 'rig', ',', 'is', 'a', 'cryptorchid', ';', 'a', 'male', 'animal', 'with', 'one', 'or', 'both', 'testicles', 'undescended', ',', 'usually', 'describing', 'a', 'ram', ',', 'bull', ',', 'or', 'male', 'horse', ',', 'but', 'cryptorchidism', 'also', 'can', 'be', 'an', 'issue', 'in', 'dogs', 'and', 'cats', '[pe]', '[pe]', '[sep]', '[sep]']","[cls] [cls] a ridgling ( also spelled ridgeling ) [ps] [ps] , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse , but cryptorchidism also can be an issue in dogs and cats [pe] [pe] [sep] [sep]"
9,in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia ,this is highly controversial,in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia this is highly controversial ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['in', 'antiquity', 'the', 'sumerians', 'built', 'a', 'settlement', 'in', 'the', 'area', 'when', 'they', 'moved', 'here', 'to', 'mesopotamia', 'from', 'central', 'asia', '']","['this', 'is', 'highly', 'controversial']","['[cls]', '[cls]', 'in', 'antiquity', 'the', 'sumerians', 'built', 'a', 'settlement', 'in', 'the', 'area', 'when', 'they', 'moved', 'here', 'to', 'mesopotamia', 'from', 'central', 'asia', '[ps]', '[ps]', 'this', 'is', 'highly', 'controversial', '[pe]', '[pe]', '[sep]', '[sep]']",[cls] [cls] in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia [ps] [ps] this is highly controversial [pe] [pe] [sep] [sep]
