HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.base_sentence,Input.phrase,Input.edited_sentence,Answer.sentiment.label
3KTZHH2ONJFDFMF51DFQD6XGJ4FM8K,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3LRKMWOKB6H4FYATQO1LZ1CBXMY2Z4,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:53:46 PST 2020,Sat Feb 22 15:53:59 PST 2020,Tue Feb 25 15:53:59 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"The presentation by the Queen at Buckingham Palace was made to his daughter , Mhairi McGeachy .",partner and,"The presentation by the Queen at Buckingham Palace was made to his partner and daughter , Mhairi McGeachy .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3M93N4X8HLN5XYOTCE83E550R4RJSD,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,354P56DE9L3E0NLL18O8ZZWGLNJ7SJ,AYJGJAIY0EXW,Submitted,Sat Feb 22 15:50:09 PST 2020,Sat Feb 22 15:50:24 PST 2020,Tue Feb 25 15:50:24 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),"In patients with cases of bipolar disorder , the patient experiences serious mood swings .",that last for days or even weeks,"In patients with cases of bipolar disorder , the patient experiences serious mood swings that last for days or even weeks .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3I4E7AFQ2LZ6CY181EDTOA1MTN5JT2,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3F1567XTNX561QU1O1XNIV8LYPM9Q8,A2UF2FRGVW4T89,Submitted,Sat Feb 22 15:49:03 PST 2020,Sat Feb 22 15:50:44 PST 2020,Tue Feb 25 15:50:44 PST 2020,,,,101,100% (1/1),0% (0/0),0% (0/0),"However , even though the Hollies ' master rights were owned by Capitol Records ' parent company , EMI , Capitol Canada decided to counterprogram against The Hollies ' first Epic release , '' Evolution '' .",new,"However , even though the Hollies ' new master rights were owned by Capitol Records ' parent company , EMI , Capitol Canada decided to counterprogram against The Hollies ' first Epic release , '' Evolution '' .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
360ZO6N6J2JDTRYF65L4D2SR3AXM99,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3WZ36BJEV4G2HZ1Q3P5EE6EY6WOBTY,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:48:27 PST 2020,Sat Feb 22 15:48:38 PST 2020,Tue Feb 25 15:48:38 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),He was assassinated by the members of the Turani faction .,by Haidar Khan Turani,He was assassinated by the members of the Turani faction by Haidar Khan Turani .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3YGE63DIN9XR294GAB8YTPTPY8HW0Y,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,37Q970SNZF80P16JCS7ZYP53I1J1SG,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:48:19 PST 2020,Sat Feb 22 15:49:07 PST 2020,Tue Feb 25 15:49:07 PST 2020,,,,48,0% (0/0),0% (0/0),0% (0/0),"Some for - profit clinics exist , but they provide less than 2 % of health services .",care,"Some for - profit clinics exist , but they provide less than 2 % of health care services .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3VQTAXTYN4LFUSILDRQMVI4B4W3BU0,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3B837J3LDPWOI650AMME4GNGMZDSR3,A3P7M9666KJCP,Submitted,Sat Feb 22 15:54:03 PST 2020,Sat Feb 22 15:54:18 PST 2020,Tue Feb 25 15:54:18 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),It lies at the junction of the A63 ( Selby ) Road and A64 ( York ) Roads .,"blends in to the Cross Gates and Seacroft areas , and","It blends in to the Cross Gates and Seacroft areas , and lies at the junction of the A63 ( Selby ) Road and A64 ( York ) Roads .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3V8JSVE8YZQUI4EAXJP1ZBG93HRYEL,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3E47SOBEYRWVIQDLND25BJI7D09CIQ,A3P7M9666KJCP,Submitted,Sat Feb 22 15:58:10 PST 2020,Sat Feb 22 15:58:22 PST 2020,Tue Feb 25 15:58:22 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),Hill was born and raised in Oklahoma .,"Ferguson ,","Hill was born and raised in Ferguson , Oklahoma .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3D06DR5226JRYA8KYBZ49X3B9SFMAO,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3PJ71Z61R52IKMAK3M78HU0DQDU91D,A1A1A9UHNQCI9Y,Submitted,Sat Feb 22 15:47:24 PST 2020,Sat Feb 22 15:47:33 PST 2020,Tue Feb 25 15:47:33 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),The Immedinger were a noble family of Saxony .,descended from the Saxon king Widukind,The Immedinger were a noble family of Saxony descended from the Saxon king Widukind .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
344M16OZKJF065AWQHGQIVI2ZXNENB,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3SNLUL3WO5NTUL2RU7KIX5W5149LUM,A681XM15AN28F,Submitted,Sat Feb 22 15:47:39 PST 2020,Sat Feb 22 15:47:50 PST 2020,Tue Feb 25 15:47:50 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),"A ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse .",", but cryptorchidism also can be an issue in dogs and cats","A ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse , but cryptorchidism also can be an issue in dogs and cats .","Wikification ( formating style, adding or removing links etc)"
3CRWSLD91L4G0E2L8U4MASNGY9JOMP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3LWJHTCVCDMF20LERNXFSRUW1NHFQ6,A681XM15AN28F,Submitted,Sat Feb 22 15:51:33 PST 2020,Sat Feb 22 15:51:47 PST 2020,Tue Feb 25 15:51:47 PST 2020,,,,14,0% (0/0),0% (0/0),0% (0/0),In antiquity the Sumerians built a settlement in the area when they moved here to Mesopotamia from Central Asia .,This is highly controversial,In antiquity the Sumerians built a settlement in the area when they moved here to Mesopotamia from Central Asia This is highly controversial .,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
