,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
0,"the presentation by the queen at buckingham palace was made to his daughter , mhairi mcgeachy ",partner and,"the presentation by the queen at buckingham palace was made to his partner and daughter , mhairi mcgeachy ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'presentation', 'by', 'the', 'queen', 'at', 'buckingham', 'palace', 'was', 'made', 'to', 'his', 'daughter', ',', 'mhairi', 'mcgeachy', '']","['partner', 'and']","['[cls]', 'the', 'presentation', 'by', 'the', 'queen', 'at', 'buckingham', 'palace', 'was', 'made', 'to', 'his', '[ps]', 'partner', 'and', '[pe]', 'daughter', ',', 'mhairi', 'mcgeachy', '[sep]']","[cls] the presentation by the queen at buckingham palace was made to his [ps] partner and [pe] daughter , mhairi mcgeachy [sep]"
1,"in patients with cases of bipolar disorder , the patient experiences serious mood swings ",that last for days or even weeks,"in patients with cases of bipolar disorder , the patient experiences serious mood swings that last for days or even weeks ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'patients', 'with', 'cases', 'of', 'bipolar', 'disorder', ',', 'the', 'patient', 'experiences', 'serious', 'mood', 'swings', '']","['that', 'last', 'for', 'days', 'or', 'even', 'weeks']","['[cls]', 'in', 'patients', 'with', 'cases', 'of', 'bipolar', 'disorder', ',', 'the', 'patient', 'experiences', 'serious', 'mood', 'swings', '[ps]', 'that', 'last', 'for', 'days', 'or', 'even', 'weeks', '[pe]', '[sep]']","[cls] in patients with cases of bipolar disorder , the patient experiences serious mood swings [ps] that last for days or even weeks [pe] [sep]"
2,"however , even though the hollies ' master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' ",new,"however , even though the hollies ' new master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['however', ',', 'even', 'though', 'the', 'hollies', ""'"", 'master', 'rights', 'were', 'owned', 'by', 'capitol', 'records', ""'"", 'parent', 'company', ',', 'emi', ',', 'capitol', 'canada', 'decided', 'to', 'counterprogram', 'against', 'the', 'hollies', ""'"", 'first', 'epic', 'release', ',', ""''"", 'evolution', ""''"", '']",['new'],"['[cls]', 'however', ',', 'even', 'though', 'the', 'hollies', ""'"", '[ps]', 'new', '[pe]', 'master', 'rights', 'were', 'owned', 'by', 'capitol', 'records', ""'"", 'parent', 'company', ',', 'emi', ',', 'capitol', 'canada', 'decided', 'to', 'counterprogram', 'against', 'the', 'hollies', ""'"", 'first', 'epic', 'release', ',', ""''"", 'evolution', ""''"", '[sep]']","[cls] however , even though the hollies ' [ps] new [pe] master rights were owned by capitol records ' parent company , emi , capitol canada decided to counterprogram against the hollies ' first epic release , '' evolution '' [sep]"
3,he was assassinated by the members of the turani faction ,by haidar khan turani,he was assassinated by the members of the turani faction by haidar khan turani ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'was', 'assassinated', 'by', 'the', 'members', 'of', 'the', 'turani', 'faction', '']","['by', 'haidar', 'khan', 'turani']","['[cls]', 'he', 'was', 'assassinated', '[ps]', 'by', 'the', 'members', 'of', 'the', 'turani', '[pe]', 'faction', 'by', 'haidar', 'khan', 'turani', '[sep]']",[cls] he was assassinated [ps] by the members of the turani [pe] faction by haidar khan turani [sep]
4,"some for - profit clinics exist , but they provide less than 2 % of health services ",care,"some for - profit clinics exist , but they provide less than 2 % of health care services ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['some', 'for', '-', 'profit', 'clinics', 'exist', ',', 'but', 'they', 'provide', 'less', 'than', '2', '%', 'of', 'health', 'services', '']",['care'],"['[cls]', 'some', 'for', '-', 'profit', 'clinics', 'exist', ',', 'but', 'they', 'provide', 'less', 'than', '2', '%', 'of', 'health', '[ps]', 'care', '[pe]', 'services', '[sep]']","[cls] some for - profit clinics exist , but they provide less than 2 % of health [ps] care [pe] services [sep]"
5,it lies at the junction of the a63 ( selby ) road and a64 ( york ) roads ,"blends in to the cross gates and seacroft areas , and","it blends in to the cross gates and seacroft areas , and lies at the junction of the a63 ( selby ) road and a64 ( york ) roads ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['it', 'lies', 'at', 'the', 'junction', 'of', 'the', 'a63', '(', 'selby', ')', 'road', 'and', 'a64', '(', 'york', ')', 'roads', '']","['blends', 'in', 'to', 'the', 'cross', 'gates', 'and', 'seacroft', 'areas', ',', 'and']","['[cls]', 'it', '[ps]', 'blends', 'in', 'to', 'the', 'cross', 'gates', 'and', '[pe]', 'seacroft', 'areas', ',', 'and', 'lies', 'at', 'the', 'junction', 'of', 'the', 'a63', '(', 'selby', ')', 'road', 'and', 'a64', '(', 'york', ')', 'roads', '[sep]']","[cls] it [ps] blends in to the cross gates and [pe] seacroft areas , and lies at the junction of the a63 ( selby ) road and a64 ( york ) roads [sep]"
6,hill was born and raised in oklahoma ,"ferguson ,","hill was born and raised in ferguson , oklahoma ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['hill', 'was', 'born', 'and', 'raised', 'in', 'oklahoma', '']","['ferguson', ',']","['[cls]', 'hill', 'was', 'born', 'and', 'raised', 'in', '[ps]', 'ferguson', ',', '[pe]', 'oklahoma', '[sep]']","[cls] hill was born and raised in [ps] ferguson , [pe] oklahoma [sep]"
7,the immedinger were a noble family of saxony ,descended from the saxon king widukind,the immedinger were a noble family of saxony descended from the saxon king widukind ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'immedinger', 'were', 'a', 'noble', 'family', 'of', 'saxony', '']","['descended', 'from', 'the', 'saxon', 'king', 'widukind']","['[cls]', 'the', 'immedinger', 'were', 'a', 'noble', 'family', 'of', 'saxony', '[ps]', 'descended', 'from', 'the', 'saxon', 'king', 'widukind', '[pe]', '[sep]']",[cls] the immedinger were a noble family of saxony [ps] descended from the saxon king widukind [pe] [sep]
8,"a ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse ",", but cryptorchidism also can be an issue in dogs and cats","a ridgling ( also spelled ridgeling ) , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse , but cryptorchidism also can be an issue in dogs and cats ","Wikification ( formating style, adding or removing links etc)","['a', 'ridgling', '(', 'also', 'spelled', 'ridgeling', ')', ',', 'or', 'rig', ',', 'is', 'a', 'cryptorchid', ';', 'a', 'male', 'animal', 'with', 'one', 'or', 'both', 'testicles', 'undescended', ',', 'usually', 'describing', 'a', 'ram', ',', 'bull', ',', 'or', 'male', 'horse', '']","[',', 'but', 'cryptorchidism', 'also', 'can', 'be', 'an', 'issue', 'in', 'dogs', 'and', 'cats']","['[cls]', 'a', 'ridgling', '(', 'also', 'spelled', 'ridgeling', ')', '[ps]', ',', 'or', 'rig', ',', 'is', 'a', 'cryptorchid', ';', 'a', 'male', 'animal', 'with', 'one', 'or', 'both', 'testicles', 'undescended', ',', 'usually', 'describing', 'a', 'ram', ',', 'bull', ',', 'or', 'male', 'horse', ',', 'but', 'cryptorchidism', 'also', 'can', 'be', 'an', 'issue', 'in', 'dogs', 'and', 'cats', '[pe]', '[sep]']","[cls] a ridgling ( also spelled ridgeling ) [ps] , or rig , is a cryptorchid ; a male animal with one or both testicles undescended , usually describing a ram , bull , or male horse , but cryptorchidism also can be an issue in dogs and cats [pe] [sep]"
9,in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia ,this is highly controversial,in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia this is highly controversial ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['in', 'antiquity', 'the', 'sumerians', 'built', 'a', 'settlement', 'in', 'the', 'area', 'when', 'they', 'moved', 'here', 'to', 'mesopotamia', 'from', 'central', 'asia', '']","['this', 'is', 'highly', 'controversial']","['[cls]', 'in', 'antiquity', 'the', 'sumerians', 'built', 'a', 'settlement', 'in', 'the', 'area', 'when', 'they', 'moved', 'here', 'to', 'mesopotamia', 'from', 'central', 'asia', '[ps]', 'this', 'is', 'highly', 'controversial', '[pe]', '[sep]']",[cls] in antiquity the sumerians built a settlement in the area when they moved here to mesopotamia from central asia [ps] this is highly controversial [pe] [sep]
